,id,blitz_games,blitz_rating,rapid_games,rapid_rating,bullet_games,bullet_rating,country
340,red_pandaz,748,1597,706,1701,760,1437,IE
341,agent90,675,1587,212,1558,560,1319,UG
342,pratikcarlsen,216,1439,594,1817,208,1461,IN
343,zuzix23,408,1444,125,1502,112,1235,PL
344,stayhome30,744,1543,244,1301,2049,1400,DE
345,luckyluc619,975,1570,333,1689,2603,1395,NO
346,beataao,662,1428,416,1505,1597,1111,HU
347,stolak,988,1598,131,1664,3707,1543,HR
348,raghav0905,349,1526,122,1661,115,1273,IN
349,mixail2010,446,1597,1747,1686,788,1723,RU
350,engagedknight,1179,1411,1140,1543,600,1095,NP
351,heisenberg02,362,1600,462,1653,632,1406,VU
352,cocentino,3784,1424,3328,1529,854,1301,BR
353,doubledoc,2089,1409,632,1557,797,1226,AT
354,vanyechka,490,1454,1714,1781,597,1349,US
355,m_kj,2207,1573,623,1728,698,1288,DE
356,davedavedave1,938,1477,246,1706,3429,1452,US
357,uodas,1423,1586,293,1902,487,1506,CA
358,jesushimself9,2592,1548,267,1688,835,1595,ME
359,vin_man,259,1449,185,1648,293,1217,IN
360,lf33,3186,1600,306,1705,130,1391,DE
361,nightattack2020,975,1578,240,1790,266,1302,ZA
362,rudrakankhara,165,1506,280,1624,104,1488,IN
363,rtrollfacey,917,1587,217,1780,1172,1418,DZ
364,gambo-fett,268,1415,869,1536,1007,1478,US
365,tetritolia,980,1520,858,1804,287,1187,GE
366,tapankumarmaestro,264,1587,876,2037,179,1222,IN
367,dallasa,887,1476,624,1588,261,1318,US
368,wolf3213,838,1404,230,1657,862,1128,PL
369,phiras,167,1521,413,1760,121,1346,JO
370,fadinglights,2407,1539,861,1799,198,1651,IN
371,sendnudes420,2216,1474,1804,1654,1045,1176,UK
372,indiandoraemon,699,1591,444,1698,1008,1630,IN
373,mir_123,497,1462,242,1694,152,1028,IN
374,darkjacobo,1521,1493,783,1835,109,1193,MX
375,gnaneshwarpaidipalla,403,1418,220,1527,144,1359,IN
376,server102,2606,1594,1013,1779,351,1445,NG
377,trappyaan,623,1463,586,1689,328,1160,AU
378,aafat,601,1444,492,1575,288,1270,IN
379,avinaba_sengupta,1493,1551,427,1785,1136,1304,IN
380,slurpjurp,903,1537,341,1649,1435,1414,US
381,elasplatypus,1815,1500,335,1539,477,1445,US
382,professionalchess01,107,1576,685,1852,129,1358,IN
383,darkfire924,193,1466,209,1669,439,1550,US
384,silverbackhq,1406,1571,445,1692,4686,1485,US
385,showmeurpp,177,1581,106,1724,192,1635,SG
386,plus_ca_change,745,1503,105,1794,1405,1267,AR
387,dakort,1946,1592,1096,1681,1336,1485,DE
388,urslovingly7,778,1582,223,1749,1712,1356,IN
389,cosmosgo1,1039,1428,669,1816,456,1257,MA
390,paul_morphy_jr,486,1416,401,1733,129,1219,US
391,l0l3r,1889,1512,988,1650,279,1111,GE
392,sotantar_s_k,7108,1473,314,1462,151,1139,IT
393,tingaling72,1043,1428,472,1320,866,1128,CA
394,matus_k2021,417,1433,982,1739,156,1103,SK
395,khattab725,382,1563,146,1689,426,1297,PS
396,ynot4k,325,1407,1159,1831,697,1364,US
397,antoonyvkl,1016,1440,143,1106,139,968,AE
398,knight_wing,778,1444,637,1504,11474,1653,IN
399,valentingenov,952,1502,249,1503,255,1400,BG
400,jackmatefce,386,1574,193,1804,152,1440,AQ
